micros;label;CHN0
0;0;0.0079343210694390
1;0;0.0079543673581440
2;0;0.0079776212488063
3;0;0.0079543673581440
4;0;0.0079343210694390
5;0;0.0079343210694390
6;0;0.0079976675375113
7;0;0.0079343210694390
8;0;0.0079816305065473
9;0;0.0079543673581440
10;0;0.0080056860529933
11;0;0.0079736119910653
12;0;0.0079543673581440
13;0;0.0079383303271800
14;0;0.0079583766158850
15;0;0.0079246987529783
16;0;0.0079495564446193
17;0;0.0079696027333243
18;0;0.0079495564446193
19;0;0.0079816305065473
20;0;0.0079295101559143
21;0;0.0079736119910653
22;0;0.0079246987529783
23;0;0.0079383303271800
24;0;0.0079295101559143
25;0;0.0079856397642883
26;0;0.0079295101559143
27;0;0.0079495564446193
28;0;0.0079583766158850
29;0;0.0079295101559143
30;0;0.0079343210694390
31;0;0.0079246987529783
32;0;0.0079343210694390
33;0;0.0079623858736260
34;0;0.0079447450416833
35;0;0.0079543673581440
36;0;0.0079495564446193
37;0;0.0079583766158850
38;0;0.0079583766158850
39;0;0.0079246987529783
40;0;0.0079583766158850
41;0;0.0079246987529783
42;0;0.0079447450416833
43;0;0.0079246987529783
44;0;0.0079495564446193
45;0;0.0079246987529783
46;0;0.0079295101559143
47;0;0.0079383303271800
48;0;0.0079246987529783
49;0;0.0079142747807340
50;0;0.0079246987529783
51;0;0.0079295101559143
52;0;0.0079246987529783
53;0;0.0079343210694390
54;0;0.0079246987529783
55;0;0.0079246987529783
56;0;0.0079246987529783
57;0;0.0080056860529933
58;0;0.0079246987529783
59;0;0.0079663951313670
60;0;0.0079383303271800
61;0;0.0079495564446193
62;0;0.0079343210694390
63;0;0.0079246987529783
64;0;0.0079383303271800
65;0;0.0079295101559143
66;0;0.0079383303271800
67;0;0.0079295101559143
68;0;0.0079295101559143
69;0;0.0079343210694390
70;0;0.0079543673581440
71;0;0.0079447450416833
72;0;0.0079447450416833
73;0;0.0079495564446193
74;0;0.0079182840384750
75;0;0.0079343210694390
76;0;0.0079495564446193
77;0;0.0079583766158850
78;0;0.0079246987529783
79;0;0.0079142747807340
80;0;0.0079246987529783
81;0;0.0079383303271800
82;0;0.0079447450416833
83;0;0.0078982377497700
84;0;0.0079663951313670
85;0;0.0079896490220293
86;0;0.0079776212488063
87;0;0.0079696027333243
88;0;0.0079383303271800
89;0;0.0079543673581440
90;0;0.0079736119910653
91;0;0.0079343210694390
92;0;0.0079246987529783
93;0;0.0079246987529783
94;0;0.0079383303271800
95;0;0.0079142747807340
96;0;0.0079663951313670
97;0;0.0079543673581440
98;0;0.0079246987529783
99;0;0.0079295101559143
100;0;0.0079182840384750
101;0;0.0079182840384750
102;0;0.0079246987529783
103;0;0.0079343210694390
104;0;0.0079295101559143
105;0;0.0079663951313670
106;0;0.0079696027333243
107;0;0.0079495564446193
108;0;0.0079543673581440
109;0;0.0079495564446193
110;0;0.0079383303271800
111;0;0.0079246987529783
112;0;0.0079447450416833
113;0;0.0079543673581440
114;0;0.0079736119910653
115;0;0.0079583766158850
116;0;0.0078653620320583
117;0;0.0079736119910653
118;0;0.0079447450416833
119;0;0.0079495564446193
120;0;0.0079495564446193
121;0;0.0079246987529783
122;0;0.0079383303271800
123;0;0.0078982377497700
124;0;0.0079246987529783
125;0;0.0079495564446193
126;0;0.0079583766158850
127;0;0.0079495564446193
128;0;0.0079447450416833
129;0;0.0079295101559143
130;0;0.0079495564446193
131;0;0.0079383303271800
132;0;0.0079495564446193
133;0;0.0079182840384750
134;0;0.0078942284920290
135;0;0.0079246987529783
136;0;0.0079246987529783
137;0;0.0079295101559143
138;0;0.0079583766158850
139;0;0.0079583766158850
140;0;0.0079343210694390
141;0;0.0079295101559143
142;0;0.0079383303271800
143;0;0.0079583766158850
144;0;0.0079543673581440
145;0;0.0079343210694390
146;0;0.0079543673581440
147;0;0.0079495564446193
148;0;0.0079447450416833
149;0;0.0079343210694390
150;0;0.0079736119910653
151;0;0.0079343210694390
152;0;0.0079343210694390
153;0;0.0079295101559143
154;0;0.0079246987529783
